eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
86,86,1345,9,12,0,0,0.0,0.0,11.257,43.773,43.773,43.773,43.773,10.0,10.0,4.63,4.63,4.63
87,87,1345,12,22,0,0,0.0,0.0,11.257,43.773,43.773,43.773,43.773,10.0,10.0,4.63,4.63,4.63
88,88,1346,2,8,0,0,0.0,0.0,10.926,44.647,44.647,44.647,44.647,10.0,10.0,4.16,4.16,4.16
89,89,1348,1,25,0,0,0.0,0.0,13.581,46.504,46.504,46.504,46.504,10.0,10.0,6.63,6.63,6.63
90,90,1348,9,13,0,0,0.0,0.0,13.095,41.925,41.925,41.925,41.925,10.0,10.0,5.56,5.56,5.56
91,91,1349,1,22,18,0,0.0,0.0,14.228,41.592,41.592,41.592,41.592,10.0,10.0,4.4,4.4,4.4
92,92,1349,9,9,8,15,0.0,0.0,,,,,,10.0,10.0,,,
93,93,1349,9,9,0,0,0.0,0.0,13.118,42.27,42.27,42.27,42.27,10.0,10.0,6.27,6.27,6.27
94,94,1349,9,9,0,0,0.0,0.0,,,,,,10.0,10.0,,,
95,95,1349,9,9,0,0,0.0,0.0,13.942,41.554,41.554,41.554,41.554,10.0,10.0,6.8,6.8,6.8
96,96,1352,1,25,0,0,0.0,0.0,15.087,37.502,37.502,37.502,37.502,10.0,10.0,5.33,5.33,5.33
97,97,1352,12,25,0,0,0.0,0.0,12.127,43.469,43.469,43.469,43.469,10.0,10.0,6.31,6.31,6.31
98,98,1353,4,22,0,0,0.0,0.0,,,,,,10.0,10.0,,,
99,99,1358,1,1,0,0,0.0,0.0,12.141,43.57,43.57,43.57,43.57,10.0,10.0,4.86,4.86,4.86
100,100,1361,7,17,17,15,0.0,0.0,15.561,41.205,41.205,41.205,41.205,10.0,10.0,6.03,6.03,6.03
101,101,1361,12,27,0,0,0.0,0.0,11.332,43.318,43.318,43.318,43.318,10.0,10.0,4.86,4.86,4.86
102,102,1364,8,1,0,0,0.0,0.0,,,,,,10.0,10.0,,,
103,103,1365,3,4,0,0,0.0,0.0,12.019,45.337,45.337,45.337,45.337,10.0,10.0,4.63,4.63,4.63
104,104,1365,7,25,18,0,0.0,0.0,11.343,44.494,44.494,44.494,44.494,10.0,10.0,5.33,5.33,5.33
105,105,1365,9,21,5,45,0.0,0.0,10.994,45.439,45.439,45.439,45.439,10.0,10.0,4.4,4.4,4.4
106,106,1367,1,1,0,0,0.0,0.0,13.867,41.54,41.54,41.54,41.54,10.0,10.0,5.1,5.1,5.1
107,107,1369,2,1,0,0,0.0,0.0,8.615,44.913,44.913,44.913,44.913,10.0,10.0,4.86,4.86,4.86
108,108,1373,1,1,0,0,0.0,0.0,11.546,45.548,45.548,45.548,45.548,10.0,10.0,4.4,4.4,4.4
109,109,1373,3,1,8,0,0.0,0.0,12.336,45.438,45.438,45.438,45.438,10.0,10.0,4.16,4.16,4.16
110,110,1373,4,1,0,0,0.0,0.0,11.546,45.548,45.548,45.548,45.548,10.0,10.0,4.4,4.4,4.4
111,111,1376,3,12,1,15,0.0,0.0,11.546,45.548,45.548,45.548,45.548,10.0,10.0,4.86,4.86,4.86
112,112,1376,3,15,0,0,0.0,0.0,11.546,45.548,45.548,45.548,45.548,10.0,10.0,4.4,4.4,4.4
